ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
1231204;Name1204;FistName1204;2002-07-08;Ville3;Pays3;NS000001204;;+336##0147467;72;NomVoie481204;;#1705;Ville10;Pays2;2006-10-24 01:01:54;2006-10-24 01:01:54
1277422;Name47422;FistName47422;1942-07-19;Ville18;Pays3;NS000047422;;+336##0729827;79;NomVoie8647422;;#7414;Ville5;Pays1;2002-01-17 16:12:56;2002-01-17 16:12:56
1245009;Name15009;FistName15009;1996-05-21;Ville15;Pays3;NS000015009;;+336##0810829;82;NomVoie4715009;;#4992;Ville7;Pays4;2023-04-06 05:26:40;2023-04-06 05:26:40
1245364;Name15364;FistName15364;2016-06-03;Ville13;Pays2;NS000015364;;+336##0701542;79;NomVoie5415364;;#5446;Ville7;Pays2;2017-03-15 18:26:50;2017-03-15 18:26:50
1238823;Name8823;FistName8823;1936-04-26;Ville21;Pays1;NS000008823;;+336##0147907;48;NomVoie948823;;#5442;Ville3;Pays2;2006-03-14 20:24:57;2006-03-14 20:24:57
1275989;Name45989;FistName45989;1977-02-27;Ville22;Pays2;NS000045989;;+336##0937232;1;NomVoie7345989;;#2834;Ville24;Pays2;2014-10-17 21:14:06;2014-10-17 21:14:06
1239982;Name9982;FistName9982;1946-03-21;Ville9;Pays1;NS000009982;;+336##0108411;8;NomVoie539982;;#6811;Ville17;Pays1;2020-06-13 03:57:15;2020-06-13 03:57:15
1233627;Name3627;FistName3627;1976-11-09;Ville24;Pays1;NS000003627;;+336##0219152;44;NomVoie883627;;#3485;Ville13;Pays5;2017-02-01 06:39:28;2017-02-01 06:39:28
1267240;Name37240;FistName37240;1958-07-06;Ville2;Pays2;NS000037240;;+336##0560146;8;NomVoie2637240;;#2204;Ville6;Pays1;2016-01-20 19:38:51;2016-01-20 19:38:51
1258706;Name28706;FistName28706;1998-06-11;Ville14;Pays3;NS000028706;;+336##0498485;45;NomVoie1128706;;#6818;Ville5;Pays4;2011-07-07 11:05:25;2011-07-07 11:05:25
1249878;Name19878;FistName19878;1973-03-07;Ville16;Pays1;NS000019878;;+336##0706984;49;NomVoie819878;;#6963;Ville5;Pays1;2001-02-14 10:38:47;2001-02-14 10:38:47
1259238;Name29238;FistName29238;1963-10-02;Ville6;Pays2;NS000029238;;+336##0280774;36;NomVoie9329238;;#2331;Ville23;Pays4;2023-03-21 04:13:40;2023-03-21 04:13:40
1242858;Name12858;FistName12858;1954-02-03;Ville5;Pays1;NS000012858;;+336##0394653;23;NomVoie4312858;;#1385;Ville15;Pays1;2000-05-25 13:22:54;2000-05-25 13:22:54
1250179;Name20179;FistName20179;1952-10-21;Ville3;Pays1;NS000020179;;+336##0343535;42;NomVoie9920179;;#0099;Ville4;Pays4;2009-08-04 08:44:42;2009-08-04 08:44:42
1270828;Name40828;FistName40828;2008-02-26;Ville14;Pays1;NS000040828;;+336##0750537;41;NomVoie9240828;;#6285;Ville4;Pays1;2000-06-21 09:09:10;2000-06-21 09:09:10
1273227;Name43227;FistName43227;1952-04-12;Ville18;Pays1;;;+336##0449733;92;NomVoie7943227;;#5745;Ville22;Pays1;2018-09-19 12:56:22;2018-09-19 12:56:22
1273960;Name43960;FistName43960;1999-07-01;Ville1;Pays2;NS000043960;;+336##0489600;61;NomVoie8443960;;#8597;Ville24;Pays1;2023-09-13 23:27:54;2023-09-13 23:27:54
1245633;Name15633;FistName15633;1967-05-08;Ville15;Pays3;NS000015633;;+336##0319231;32;NomVoie9815633;;#0010;Ville23;Pays3;2011-11-04 11:39:24;2011-11-04 11:39:24
1275527;Name45527;FistName45527;1941-03-14;Ville5;Pays2;NS000045527;;+336##0793133;17;NomVoie7145527;;#3080;Ville7;Pays1;2012-01-17 12:08:50;2012-01-17 12:08:50
1271177;Name41177;FistName41177;1975-09-03;Ville12;Pays2;NS000041177;;+336##0829340;10;NomVoie4041177;;#1743;Ville19;Pays2;2013-07-18 02:48:20;2013-07-18 02:48:20
1267605;Name37605;FistName37605;1972-01-10;Ville4;Pays1;NS000037605;;+336##0268042;63;NomVoie2337605;;#2728;Ville4;Pays2;2022-03-19 02:45:05;2022-03-19 02:45:05
1264292;Name34292;FistName34292;1985-06-10;Ville19;Pays1;NS000034292;;+336##0040306;96;NomVoie5434292;;#2212;Ville12;Pays2;2007-01-05 04:46:37;2007-01-05 04:46:37
1233264;Name3264;FistName3264;1964-05-14;Ville12;Pays2;NS000003264;;+336##0882930;16;NomVoie563264;;#9398;Ville7;Pays3;2002-05-26 01:27:59;2002-05-26 01:27:59
1250288;Name20288;FistName20288;1936-02-25;Ville2;Pays2;NS000020288;;+336##0331354;28;NomVoie620288;;#4830;Ville18;Pays2;2021-11-24 05:34:04;2021-11-24 05:34:04
1273745;Name43745;FistName43745;1965-08-25;Ville24;Pays2;NS000043745;;+336##0386997;74;NomVoie6543745;;#6918;Ville5;Pays2;1999-10-23 23:34:21;1999-10-23 23:34:21
1237884;Name7884;FistName7884;2009-02-18;Ville19;Pays1;NS000007884;;+336##0204386;36;NomVoie507884;;#8435;Ville19;Pays1;2018-06-15 21:24:04;2018-06-15 21:24:04
1231642;Name1642;FistName1642;2006-05-16;Ville2;Pays2;NS000001642;;+336##0585750;99;NomVoie521642;;#2270;Ville3;Pays2;2017-09-10 04:34:25;2017-09-10 04:34:25
1233312;Name3312;FistName3312;1940-08-20;Ville1;Pays3;NS000003312;;+336##0528155;0;NomVoie33312;;#7543;Ville23;Pays3;2006-01-27 09:57:15;2006-01-27 09:57:15
1261453;Name31453;FistName31453;1954-08-25;Ville10;Pays1;NS000031453;;+336##0820301;43;NomVoie8231453;;#1282;Ville18;Pays2;2000-09-15 01:21:41;2000-09-15 01:21:41
1262140;Name32140;FistName32140;1968-01-19;Ville19;Pays2;NS000032140;;+336##0534597;11;NomVoie532140;;#8974;Ville2;Pays1;2020-10-19 15:44:53;2020-10-19 15:44:53
1278291;Name48291;FistName48291;1990-10-18;Ville2;Pays4;NS000048291;;+336##0556390;28;NomVoie9748291;;#5052;Ville3;Pays2;2003-03-11 05:32:25;2003-03-11 05:32:25
1238670;Name8670;FistName8670;1978-04-20;Ville4;Pays1;NS000008670;;+336##0102137;2;NomVoie618670;;#8942;Ville9;Pays3;1999-10-22 16:39:39;1999-10-22 16:39:39
1275776;Name45776;FistName45776;2007-09-07;Ville10;Pays1;NS000045776;;+336##0121020;21;NomVoie645776;;#1459;Ville6;Pays1;2005-05-03 21:01:22;2005-05-03 21:01:22
1266578;Name36578;FistName36578;1955-10-27;Ville11;Pays2;NS000036578;;+336##0691588;18;NomVoie7736578;;#8595;Ville9;Pays2;2005-03-06 06:47:58;2005-03-06 06:47:58
1250158;Name20158;FistName20158;1998-09-09;Ville7;Pays2;NS000020158;;+336##0467710;99;NomVoie5820158;;#5098;Ville14;Pays2;2011-05-19 05:57:33;2011-05-19 05:57:33
1230260;Name260;FistName260;1945-01-19;Ville2;Pays4;NS000000260;;+336##0183369;47;NomVoie18260;;#7801;Ville2;Pays3;2010-07-13 19:26:46;2010-07-13 19:26:46
1233397;Name3397;FistName3397;1977-10-10;Ville23;Pays1;NS000003397;;+336##0436791;79;NomVoie373397;;#1834;Ville20;Pays3;2003-07-18 21:01:25;2003-07-18 21:01:25
