ID_PERSONNEL;NOM_PERSONNEL;PRENOM_PERSONNEL;FONCTION_PERSONNEL;TS_DEBUT_ACTIVITE;TS_FIN_ACTIVITE;RAISON_FIN_ACTIVITE;TS_CREATION_PERSONNEL;TS_MAJ_PERSONNEL;CD_STATUT_PERSONNEL
0;NameMedecin0;FirstNameMedecin0;Generaliste;2026-05-06 00:28:21;2026-05-06 18:07:53;Fin de journée;1999-03-01;2024-02-23;Actif
1;NameMedecin1;FirstNameMedecin1;Dermatologiste;2026-05-06 10:45:04;2026-05-06 18:52:51;Fin de journée;1999-03-01;2024-02-23;Actif
2;NameMedecin2;FirstNameMedecin2;Chirurgien;2026-05-06 07:04:38;2026-05-06 13:32:57;Fin de journée;1999-03-01;2024-02-23;Actif
3;NameMedecin3;FirstNameMedecin3;Generaliste;2026-05-06 00:37:38;2026-05-06 15:48:59;Fin de journée;1999-03-01;2024-02-23;Actif
4;NameMedecin4;FirstNameMedecin4;Generaliste;2026-05-06 00:05:43;2026-05-06 19:17:21;Fin de journée;1999-03-01;2024-02-23;Actif
5;NameMedecin5;FirstNameMedecin5;Chirurgien;2026-05-06 05:51:50;2026-05-06 19:22:19;Fin de journée;1999-03-01;2024-02-23;Actif
6;NameMedecin6;FirstNameMedecin6;Dermatologiste;2026-05-06 02:48:31;2026-05-06 13:36:25;Fin de journée;1999-03-01;2024-02-23;Actif
7;NameMedecin7;FirstNameMedecin7;Generaliste;2026-05-06 09:33:11;2026-05-06 23:22:52;Fin de journée;1999-03-01;2024-02-23;Actif
8;NameMedecin8;FirstNameMedecin8;Generaliste;2026-05-06 05:16:15;2026-05-06 16:25:48;Fin de journée;1999-03-01;2024-02-23;Actif
9;NameMedecin9;FirstNameMedecin9;Dermatologiste;2026-05-06 05:27:56;2026-05-06 17:58:46;Fin de journée;1999-03-01;2024-02-23;Actif
10;NameMedecin10;FirstNameMedecin10;Generaliste;2026-05-06 10:04:42;2026-05-06 21:11:12;Fin de journée;1999-03-01;2024-02-23;Actif
11;NameMedecin11;FirstNameMedecin11;Chirurgien;2026-05-06 09:37:19;2026-05-06 16:09:37;Fin de journée;1999-03-01;2024-02-23;Actif
12;NameMedecin12;FirstNameMedecin12;Generaliste;2026-05-06 08:17:57;2026-05-06 18:54:46;Fin de journée;1999-03-01;2024-02-23;Actif
13;NameMedecin13;FirstNameMedecin13;Chirurgien;2026-05-06 03:58:25;2026-05-06 21:37:21;Fin de journée;1999-03-01;2024-02-23;Actif
14;NameMedecin14;FirstNameMedecin14;Generaliste;2026-05-06 06:49:40;2026-05-06 23:27:34;Fin de journée;1999-03-01;2024-02-23;Actif
15;NameMedecin15;FirstNameMedecin15;Generaliste;2026-05-06 07:30:56;2026-05-06 22:47:44;Fin de journée;1999-03-01;2024-02-23;Actif
